part_id,feature_id,parent_pocket,center_u_mm,center_v_mm,radius_mm,depth_mm,intent,dxf_handle
S01-1,S01-1-P03-DB-L,S01-1-P03,110.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,56
S01-1,S01-1-P03-DB-R,S01-1-P03,120.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,57
S01-1,S01-1-P04-DB-L,S01-1-P04,200.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,58
S01-1,S01-1-P04-DB-R,S01-1-P04,210.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,59
S01-1,S01-1-P05-DB-L,S01-1-P05,290.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,5A
S01-1,S01-1-P05-DB-R,S01-1-P05,300.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,5B
S01-1,S01-1-P06-DB-L,S01-1-P06,380.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,5C
S01-1,S01-1-P06-DB-R,S01-1-P06,390.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,5D
S01-2,S01-2-P03-DB-L,S01-2-P03,110.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,66
S01-2,S01-2-P03-DB-R,S01-2-P03,120.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,67
S01-2,S01-2-P04-DB-L,S01-2-P04,200.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,68
S01-2,S01-2-P04-DB-R,S01-2-P04,210.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,69
S01-2,S01-2-P05-DB-L,S01-2-P05,290.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,6A
S01-2,S01-2-P05-DB-R,S01-2-P05,300.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,6B
S01-2,S01-2-P06-DB-L,S01-2-P06,380.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,6C
S01-2,S01-2-P06-DB-R,S01-2-P06,390.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,6D
S01-3,S01-3-P03-DB-L,S01-3-P03,110.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,76
S01-3,S01-3-P03-DB-R,S01-3-P03,120.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,77
S01-3,S01-3-P04-DB-L,S01-3-P04,200.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,78
S01-3,S01-3-P04-DB-R,S01-3-P04,210.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,79
S01-3,S01-3-P05-DB-L,S01-3-P05,290.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,7A
S01-3,S01-3-P05-DB-R,S01-3-P05,300.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,7B
S01-3,S01-3-P06-DB-L,S01-3-P06,380.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,7C
S01-3,S01-3-P06-DB-R,S01-3-P06,390.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,7D
S01-4,S01-4-P03-DB-L,S01-4-P03,110.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,86
S01-4,S01-4-P03-DB-R,S01-4-P03,120.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,87
S01-4,S01-4-P04-DB-L,S01-4-P04,200.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,88
S01-4,S01-4-P04-DB-R,S01-4-P04,210.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,89
S01-4,S01-4-P05-DB-L,S01-4-P05,290.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,8A
S01-4,S01-4-P05-DB-R,S01-4-P05,300.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,8B
S01-4,S01-4-P06-DB-L,S01-4-P06,380.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,8C
S01-4,S01-4-P06-DB-R,S01-4-P06,390.0,20.0,3.2,10,UNION_WITH_PARENT_POCKET,8D
S02-1,S02-1-P03-DB-L,S02-1-P03,65.66666666666666,20.0,3.2,10,UNION_WITH_PARENT_POCKET,94
S02-1,S02-1-P03-DB-R,S02-1-P03,75.66666666666666,20.0,3.2,10,UNION_WITH_PARENT_POCKET,95
S02-1,S02-1-P04-DB-L,S02-1-P04,111.33333333333333,20.0,3.2,10,UNION_WITH_PARENT_POCKET,96
S02-1,S02-1-P04-DB-R,S02-1-P04,121.33333333333333,20.0,3.2,10,UNION_WITH_PARENT_POCKET,97
S02-2,S02-2-P03-DB-L,S02-2-P03,65.66666666666666,20.0,3.2,10,UNION_WITH_PARENT_POCKET,9E
S02-2,S02-2-P03-DB-R,S02-2-P03,75.66666666666666,20.0,3.2,10,UNION_WITH_PARENT_POCKET,9F
S02-2,S02-2-P04-DB-L,S02-2-P04,111.33333333333333,20.0,3.2,10,UNION_WITH_PARENT_POCKET,A0
S02-2,S02-2-P04-DB-R,S02-2-P04,121.33333333333333,20.0,3.2,10,UNION_WITH_PARENT_POCKET,A1
S02-3,S02-3-P03-DB-L,S02-3-P03,65.66666666666666,20.0,3.2,10,UNION_WITH_PARENT_POCKET,A8
S02-3,S02-3-P03-DB-R,S02-3-P03,75.66666666666666,20.0,3.2,10,UNION_WITH_PARENT_POCKET,A9
S02-3,S02-3-P04-DB-L,S02-3-P04,111.33333333333333,20.0,3.2,10,UNION_WITH_PARENT_POCKET,AA
