part_id,length_mm,width_mm,thickness_mm,nest_x_mm,nest_y_mm,assembly_group,A_face_in_assembly,grain_axis,assembly_affine,pocket_count
F01-1,586.0,40.0,20,20,20,FIXED,FRONT,X,"[0, 1, -1, 0, 0, 586]",2
F01-2,586.0,40.0,20,20,72,FIXED,FRONT,X,"[0, -1, 1, 0, 463, 0]",2
F02-1,463.0,40.0,20,618,20,FIXED,BACK,X,"[-1, 0, 0, 1, 463, 0]",2
F02-2,463.0,40.0,20,618,72,FIXED,BACK,X,"[1, 0, 0, -1, 0, 586]",2
S01-1,500.0,30.0,20,20,124,LEFT_LEAF,FRONT,X,"[0, 1, -1, 0, 43, 543.0]",6
S01-2,500.0,30.0,20,532,124,LEFT_LEAF,FRONT,X,"[0, -1, 1, 0, 230.0, 43]",6
S01-3,500.0,30.0,20,20,166,RIGHT_LEAF,FRONT,X,"[0, 1, -1, 0, 233, 543.0]",6
S01-4,500.0,30.0,20,532,166,RIGHT_LEAF,FRONT,X,"[0, -1, 1, 0, 420.0, 43]",6
S02-1,187.0,30.0,20,20,208,LEFT_LEAF,BACK,X,"[-1, 0, 0, 1, 230.0, 43]",4
S02-2,187.0,30.0,20,219,208,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 43, 543.0]",4
S02-3,187.0,30.0,20,418,208,RIGHT_LEAF,BACK,X,"[-1, 0, 0, 1, 420.0, 43]",4
S02-4,187.0,30.0,20,617,208,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 233, 543.0]",4
L01-1,460.0,10.0,20,20,250,LEFT_LEAF,FRONT,X,"[0, -1, 1, 0, 118.66666666666666, 63]",6
L01-2,460.0,10.0,20,492,250,LEFT_LEAF,FRONT,X,"[0, -1, 1, 0, 164.33333333333331, 63]",6
L01-3,460.0,10.0,20,20,272,RIGHT_LEAF,FRONT,X,"[0, -1, 1, 0, 308.66666666666663, 63]",6
L01-4,460.0,10.0,20,492,272,RIGHT_LEAF,FRONT,X,"[0, -1, 1, 0, 354.3333333333333, 63]",6
L02-1,147.0,10.0,20,20,294,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 63, 163.0]",4
L02-2,147.0,10.0,20,179,294,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 63, 253.0]",4
L02-3,147.0,10.0,20,338,294,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 63, 343.0]",4
L02-4,147.0,10.0,20,497,294,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 63, 433.0]",4
L02-5,147.0,10.0,20,20,316,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 253, 163.0]",4
L02-6,147.0,10.0,20,179,316,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 253, 253.0]",4
L02-7,147.0,10.0,20,338,316,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 253, 343.0]",4
L02-8,147.0,10.0,20,497,316,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 253, 433.0]",4
