part_id,feature_id,joint,pair_id,u0_mm,v0_mm,length_mm,width_mm,depth_mm,seat,mate_part_id,mate_feature_id,open_edges,A_face_in_assembly,dxf_handle
F01-1,F01-1-P01,J1,PAIR-01,0,0,40,40,10,False,F02-2,F02-2-P01,U_MIN;V_MIN;V_MAX,FRONT,40
F01-1,F01-1-P02,J1,PAIR-02,546.0,0,40.0,40,10,False,F02-1,F02-1-P02,U_MAX;V_MIN;V_MAX,FRONT,41
F01-2,F01-2-P01,J1,PAIR-03,0,0,40,40,10,False,F02-1,F02-1-P01,U_MIN;V_MIN;V_MAX,FRONT,44
F01-2,F01-2-P02,J1,PAIR-04,546.0,0,40.0,40,10,False,F02-2,F02-2-P02,U_MAX;V_MIN;V_MAX,FRONT,45
F02-1,F02-1-P01,J1,PAIR-03,0,0,40,40,10,False,F01-2,F01-2-P01,U_MIN;V_MIN;V_MAX,BACK,48
F02-1,F02-1-P02,J1,PAIR-02,423.0,0,40.0,40,10,False,F01-1,F01-1-P02,U_MAX;V_MIN;V_MAX,BACK,49
F02-2,F02-2-P01,J1,PAIR-01,0,0,40,40,10,False,F01-1,F01-1-P01,U_MIN;V_MIN;V_MAX,BACK,4C
F02-2,F02-2-P02,J1,PAIR-04,423.0,0,40.0,40,10,False,F01-2,F01-2-P02,U_MAX;V_MIN;V_MAX,BACK,4D
S01-1,S01-1-P01,J2,PAIR-05,0,0,30,30,10,False,S02-2,S02-2-P01,U_MIN;V_MIN;V_MAX,FRONT,50
S01-1,S01-1-P02,J2,PAIR-06,470.0,0,30.0,30,10,False,S02-1,S02-1-P02,U_MAX;V_MIN;V_MAX,FRONT,51
S01-1,S01-1-P03,J4,PAIR-07,110.0,20,10.0,10,10,True,L02-4,L02-4-P01,V_MAX,FRONT,52
S01-1,S01-1-P04,J4,PAIR-08,200.0,20,10.0,10,10,True,L02-3,L02-3-P01,V_MAX,FRONT,53
S01-1,S01-1-P05,J4,PAIR-09,290.0,20,10.0,10,10,True,L02-2,L02-2-P01,V_MAX,FRONT,54
S01-1,S01-1-P06,J4,PAIR-10,380.0,20,10.0,10,10,True,L02-1,L02-1-P01,V_MAX,FRONT,55
S01-2,S01-2-P01,J2,PAIR-11,0,0,30,30,10,False,S02-1,S02-1-P01,U_MIN;V_MIN;V_MAX,FRONT,60
S01-2,S01-2-P02,J2,PAIR-12,470.0,0,30.0,30,10,False,S02-2,S02-2-P02,U_MAX;V_MIN;V_MAX,FRONT,61
S01-2,S01-2-P03,J4,PAIR-13,110.0,20,10.0,10,10,True,L02-1,L02-1-P02,V_MAX,FRONT,62
S01-2,S01-2-P04,J4,PAIR-14,200.0,20,10.0,10,10,True,L02-2,L02-2-P02,V_MAX,FRONT,63
S01-2,S01-2-P05,J4,PAIR-15,290.0,20,10.0,10,10,True,L02-3,L02-3-P02,V_MAX,FRONT,64
S01-2,S01-2-P06,J4,PAIR-16,380.0,20,10.0,10,10,True,L02-4,L02-4-P02,V_MAX,FRONT,65
S01-3,S01-3-P01,J2,PAIR-17,0,0,30,30,10,False,S02-4,S02-4-P01,U_MIN;V_MIN;V_MAX,FRONT,70
