part_id,length_mm,width_mm,thickness_mm,nesting_x_mm,nesting_y_mm,assembly_face_A,pocket_count,grain_axis
F01-1,463,40,20,618,20,FRONT,2,X
F01-2,463,40,20,618,72,FRONT,2,X
F02-1,586,40,20,20,20,BACK,2,X
F02-2,586,40,20,20,72,BACK,2,X
L01-1,337,10,20,492,208,FRONT,6,X
L01-2,337,10,20,492,230,FRONT,6,X
L01-3,337,10,20,492,252,FRONT,6,X
L01-4,337,10,20,492,274,FRONT,6,X
L01-5,337,10,20,841,208,FRONT,6,X
L02-1,460,10,20,20,208,BACK,7,X
L02-2,460,10,20,20,230,BACK,7,X
L02-3,460,10,20,20,252,BACK,7,X
L02-4,460,10,20,20,274,BACK,7,X
S01-1,377,30,20,532,124,FRONT,6,X
S01-2,377,30,20,532,166,FRONT,6,X
S02-1,500,30,20,20,124,BACK,7,X
S02-2,500,30,20,20,166,BACK,7,X
