part_id,joint,joint_id,u_start_mm,v_start_mm,length_u_mm,width_v_mm,depth_mm,assembly_face_A,open_edges,dogbone_count,dxf_handle
F02-1,J1,F_BL,0,0,40,40,10,BACK,U_MIN;V_MIN;V_MAX,0,40
F02-1,J1,F_BR,546,0,40,40,10,BACK,U_MAX;V_MIN;V_MAX,0,41
F01-1,J1,F_BL,0,0,40,40,10,FRONT,U_MIN;V_MIN;V_MAX,0,45
F01-1,J1,F_TL,423,0,40,40,10,FRONT,U_MAX;V_MIN;V_MAX,0,46
F02-2,J1,F_TL,0,0,40,40,10,BACK,U_MIN;V_MIN;V_MAX,0,4A
F02-2,J1,F_TR,546,0,40,40,10,BACK,U_MAX;V_MIN;V_MAX,0,4B
F01-2,J1,F_BR,0,0,40,40,10,FRONT,U_MIN;V_MIN;V_MAX,0,4F
F01-2,J1,F_TR,423,0,40,40,10,FRONT,U_MAX;V_MIN;V_MAX,0,50
S02-1,J2,S_BL,0,0,30,30,10,BACK,U_MIN;V_MIN;V_MAX,0,54
S02-1,J2,S_BR,470,0,30,30,10,BACK,U_MAX;V_MIN;V_MAX,0,55
S02-1,J4,E_V1_B,95.0,0,10,10,10,BACK,V_MIN,2,56
S02-1,J4,E_V2_B,170.0,0,10,10,10,BACK,V_MIN,2,59
S02-1,J4,E_V3_B,245.0,0,10,10,10,BACK,V_MIN,2,5C
S02-1,J4,E_V4_B,320.0,0,10,10,10,BACK,V_MIN,2,5F
S02-1,J4,E_V5_B,395.0,0,10,10,10,BACK,V_MIN,2,62
S01-1,J2,S_BL,0,0,30,30,10,FRONT,U_MIN;V_MIN;V_MAX,0,68
S01-1,J2,S_TL,347,0,30,30,10,FRONT,U_MAX;V_MIN;V_MAX,0,69
S01-1,J4,E_H1_L,85.4,0,10,10,10,FRONT,V_MIN,2,6A
S01-1,J4,E_H2_L,150.8,0,10,10,10,FRONT,V_MIN,2,6D
S01-1,J4,E_H3_L,216.2,0,10,10,10,FRONT,V_MIN,2,70
S01-1,J4,E_H4_L,281.6,0,10,10,10,FRONT,V_MIN,2,73
S02-2,J2,S_TL,0,0,30,30,10,BACK,U_MIN;V_MIN;V_MAX,0,79
S02-2,J2,S_TR,470,0,30,30,10,BACK,U_MAX;V_MIN;V_MAX,0,7A
S02-2,J4,E_V1_T,95.0,20,10,10,10,BACK,V_MAX,2,7B
S02-2,J4,E_V2_T,170.0,20,10,10,10,BACK,V_MAX,2,7E
S02-2,J4,E_V3_T,245.0,20,10,10,10,BACK,V_MAX,2,81
S02-2,J4,E_V4_T,320.0,20,10,10,10,BACK,V_MAX,2,84
S02-2,J4,E_V5_T,395.0,20,10,10,10,BACK,V_MAX,2,87
S01-2,J2,S_BR,0,0,30,30,10,FRONT,U_MIN;V_MIN;V_MAX,0,8D
S01-2,J2,S_TR,347,0,30,30,10,FRONT,U_MAX;V_MIN;V_MAX,0,8E
S01-2,J4,E_H1_R,85.4,20,10,10,10,FRONT,V_MAX,2,8F
S01-2,J4,E_H2_R,150.8,20,10,10,10,FRONT,V_MAX,2,92
S01-2,J4,E_H3_R,216.2,20,10,10,10,FRONT,V_MAX,2,95
S01-2,J4,E_H4_R,281.6,20,10,10,10,FRONT,V_MAX,2,98
L02-1,J4,E_H1_L,0,0,10,10,10,BACK,U_MIN;V_MIN;V_MAX,0,9D
L02-1,J4,E_H1_R,450,0,10,10,10,BACK,U_MAX;V_MIN;V_MAX,0,9E
L02-1,J3,X_1_1,75.0,0,10,10,10,BACK,V_MIN;V_MAX,0,9F
L02-1,J3,X_2_1,150.0,0,10,10,10,BACK,V_MIN;V_MAX,0,A0
L02-1,J3,X_3_1,225.0,0,10,10,10,BACK,V_MIN;V_MAX,0,A1
L02-1,J3,X_4_1,300.0,0,10,10,10,BACK,V_MIN;V_MAX,0,A2
L02-1,J3,X_5_1,375.0,0,10,10,10,BACK,V_MIN;V_MAX,0,A3
L01-1,J4,E_V1_B,0,0,10,10,10,FRONT,U_MIN;V_MIN;V_MAX,0,A6
L01-1,J4,E_V1_T,327,0,10,10,10,FRONT,U_MAX;V_MIN;V_MAX,0,A7
L01-1,J3,X_1_1,65.4,0,10,10,10,FRONT,V_MIN;V_MAX,0,A8
L01-1,J3,X_1_2,130.8,0,10,10,10,FRONT,V_MIN;V_MAX,0,A9
L01-1,J3,X_1_3,196.2,0,10,10,10,FRONT,V_MIN;V_MAX,0,AA
L01-1,J3,X_1_4,261.6,0,10,10,10,FRONT,V_MIN;V_MAX,0,AB
L02-2,J4,E_H2_L,0,0,10,10,10,BACK,U_MIN;V_MIN;V_MAX,0,AE
L02-2,J4,E_H2_R,450,0,10,10,10,BACK,U_MAX;V_MIN;V_MAX,0,AF
L02-2,J3,X_1_2,75.0,0,10,10,10,BACK,V_MIN;V_MAX,0,B0
L02-2,J3,X_2_2,150.0,0,10,10,10,BACK,V_MIN;V_MAX,0,B1
L02-2,J3,X_3_2,225.0,0,10,10,10,BACK,V_MIN;V_MAX,0,B2
L02-2,J3,X_4_2,300.0,0,10,10,10,BACK,V_MIN;V_MAX,0,B3
L02-2,J3,X_5_2,375.0,0,10,10,10,BACK,V_MIN;V_MAX,0,B4
L01-2,J4,E_V2_B,0,0,10,10,10,FRONT,U_MIN;V_MIN;V_MAX,0,B7
L01-2,J4,E_V2_T,327,0,10,10,10,FRONT,U_MAX;V_MIN;V_MAX,0,B8
L01-2,J3,X_2_1,65.4,0,10,10,10,FRONT,V_MIN;V_MAX,0,B9
L01-2,J3,X_2_2,130.8,0,10,10,10,FRONT,V_MIN;V_MAX,0,BA
L01-2,J3,X_2_3,196.2,0,10,10,10,FRONT,V_MIN;V_MAX,0,BB
L01-2,J3,X_2_4,261.6,0,10,10,10,FRONT,V_MIN;V_MAX,0,BC
L02-3,J4,E_H3_L,0,0,10,10,10,BACK,U_MIN;V_MIN;V_MAX,0,BF
L02-3,J4,E_H3_R,450,0,10,10,10,BACK,U_MAX;V_MIN;V_MAX,0,C0
L02-3,J3,X_1_3,75.0,0,10,10,10,BACK,V_MIN;V_MAX,0,C1
L02-3,J3,X_2_3,150.0,0,10,10,10,BACK,V_MIN;V_MAX,0,C2
L02-3,J3,X_3_3,225.0,0,10,10,10,BACK,V_MIN;V_MAX,0,C3
L02-3,J3,X_4_3,300.0,0,10,10,10,BACK,V_MIN;V_MAX,0,C4
L02-3,J3,X_5_3,375.0,0,10,10,10,BACK,V_MIN;V_MAX,0,C5
L01-3,J4,E_V3_B,0,0,10,10,10,FRONT,U_MIN;V_MIN;V_MAX,0,C8
