part_id,feature_id,parent_pocket,center_u_mm,center_v_mm,radius_mm,depth_mm,intent,dxf_handle
S01-1,S01-1-P03-DB-L,S01-1-P03,152.79999999999995,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5A
S01-1,S01-1-P03-DB-R,S01-1-P03,162.79999999999995,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5B
S01-1,S01-1-P04-DB-L,S01-1-P04,285.6,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5C
S01-1,S01-1-P04-DB-R,S01-1-P04,295.6,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5D
S01-1,S01-1-P05-DB-L,S01-1-P05,418.4,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5E
S01-1,S01-1-P05-DB-R,S01-1-P05,428.4,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5F
S01-1,S01-1-P06-DB-L,S01-1-P06,551.2,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,60
S01-1,S01-1-P06-DB-R,S01-1-P06,561.2,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,61
S01-2,S01-2-P03-DB-L,S01-2-P03,152.8,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,6A
S01-2,S01-2-P03-DB-R,S01-2-P03,162.8,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,6B
S01-2,S01-2-P04-DB-L,S01-2-P04,285.6,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,6C
S01-2,S01-2-P04-DB-R,S01-2-P04,295.6,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,6D
S01-2,S01-2-P05-DB-L,S01-2-P05,418.4,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,6E
S01-2,S01-2-P05-DB-R,S01-2-P05,428.4,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,6F
S01-2,S01-2-P06-DB-L,S01-2-P06,551.2,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,70
S01-2,S01-2-P06-DB-R,S01-2-P06,561.2,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,71
S01-3,S01-3-P03-DB-L,S01-3-P03,152.79999999999995,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7A
S01-3,S01-3-P03-DB-R,S01-3-P03,162.79999999999995,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7B
S01-3,S01-3-P04-DB-L,S01-3-P04,285.6,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7C
S01-3,S01-3-P04-DB-R,S01-3-P04,295.6,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7D
S01-3,S01-3-P05-DB-L,S01-3-P05,418.4,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7E
S01-3,S01-3-P05-DB-R,S01-3-P05,428.4,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7F
S01-3,S01-3-P06-DB-L,S01-3-P06,551.2,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,80
S01-3,S01-3-P06-DB-R,S01-3-P06,561.2,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,81
S01-4,S01-4-P03-DB-L,S01-4-P03,152.8,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,8A
S01-4,S01-4-P03-DB-R,S01-4-P03,162.8,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,8B
S01-4,S01-4-P04-DB-L,S01-4-P04,285.6,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,8C
S01-4,S01-4-P04-DB-R,S01-4-P04,295.6,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,8D
S01-4,S01-4-P05-DB-L,S01-4-P05,418.4,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,8E
S01-4,S01-4-P05-DB-R,S01-4-P05,428.4,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,8F
S01-4,S01-4-P06-DB-L,S01-4-P06,551.2,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,90
S01-4,S01-4-P06-DB-R,S01-4-P06,561.2,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,91
S02-1,S02-1-P03-DB-L,S02-1-P03,88.5,20,3.2,10.0,UNION_WITH_PARENT_POCKET,98
S02-1,S02-1-P03-DB-R,S02-1-P03,98.5,20,3.2,10.0,UNION_WITH_PARENT_POCKET,99
S02-1,S02-1-P04-DB-L,S02-1-P04,157.0,20,3.2,10.0,UNION_WITH_PARENT_POCKET,9A
S02-1,S02-1-P04-DB-R,S02-1-P04,167.0,20,3.2,10.0,UNION_WITH_PARENT_POCKET,9B
S02-2,S02-2-P03-DB-L,S02-2-P03,88.5,20,3.2,10.0,UNION_WITH_PARENT_POCKET,A2
S02-2,S02-2-P03-DB-R,S02-2-P03,98.5,20,3.2,10.0,UNION_WITH_PARENT_POCKET,A3
S02-2,S02-2-P04-DB-L,S02-2-P04,157.0,20,3.2,10.0,UNION_WITH_PARENT_POCKET,A4
S02-2,S02-2-P04-DB-R,S02-2-P04,167.0,20,3.2,10.0,UNION_WITH_PARENT_POCKET,A5
S02-3,S02-3-P03-DB-L,S02-3-P03,88.5,20,3.2,10.0,UNION_WITH_PARENT_POCKET,AC
S02-3,S02-3-P03-DB-R,S02-3-P03,98.5,20,3.2,10.0,UNION_WITH_PARENT_POCKET,AD
S02-3,S02-3-P04-DB-L,S02-3-P04,157.0,20,3.2,10.0,UNION_WITH_PARENT_POCKET,AE
S02-3,S02-3-P04-DB-R,S02-3-P04,167.0,20,3.2,10.0,UNION_WITH_PARENT_POCKET,AF
S02-4,S02-4-P03-DB-L,S02-4-P03,88.5,20,3.2,10.0,UNION_WITH_PARENT_POCKET,B6
