part_id,length_mm,width_mm,thickness_mm,nest_x_mm,nest_y_mm,assembly_group,A_face_in_assembly,grain_axis,assembly_affine,pocket_count
F01-1,800.0,40.0,20,20,20,FIXED,FRONT,X,"[0, 1, -1, 0, 0, 800]",2
F01-2,800.0,40.0,20,20,72,FIXED,FRONT,X,"[0, -1, 1, 0, 600, 0]",2
F02-1,600.0,40.0,20,20,124,FIXED,BACK,X,"[-1, 0, 0, 1, 600, 0]",2
F02-2,600.0,40.0,20,20,176,FIXED,BACK,X,"[1, 0, 0, -1, 0, 800]",2
S01-1,714.0,30.0,20,20,228,LEFT_LEAF,FRONT,X,"[0, 1, -1, 0, 43.0, 757]",6
S01-2,714.0,30.0,20,20,270.0,LEFT_LEAF,FRONT,X,"[0, -1, 1, 0, 298.5, 43]",6
S01-3,714.0,30.0,20,20,312.0,RIGHT_LEAF,FRONT,X,"[0, 1, -1, 0, 301.5, 757]",6
S01-4,714.0,30.0,20,20,354.0,RIGHT_LEAF,FRONT,X,"[0, -1, 1, 0, 557.0, 43]",6
S02-1,255.5,30.0,20,746,228,LEFT_LEAF,BACK,X,"[-1, 0, 0, 1, 298.5, 43]",4
S02-2,255.5,30.0,20,746,270.0,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 43.0, 757]",4
S02-3,255.5,30.0,20,746,312.0,RIGHT_LEAF,BACK,X,"[-1, 0, 0, 1, 557.0, 43]",4
S02-4,255.5,30.0,20,746,354.0,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 301.5, 757]",4
L01-1,674.0,10.0,20,20,396.0,LEFT_LEAF,FRONT,X,"[0, -1, 1, 0, 141.5, 63]",6
L01-2,674.0,10.0,20,20,418.0,LEFT_LEAF,FRONT,X,"[0, -1, 1, 0, 210.0, 63]",6
L01-3,674.0,10.0,20,20,440.0,RIGHT_LEAF,FRONT,X,"[0, -1, 1, 0, 400.0, 63]",6
L01-4,674.0,10.0,20,20,462.0,RIGHT_LEAF,FRONT,X,"[0, -1, 1, 0, 468.5, 63]",6
L02-1,215.5,10.0,20,706,396.0,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 63.0, 205.8]",4
L02-2,215.5,10.0,20,933.5,396.0,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 63.0, 338.6]",4
L02-3,215.5,10.0,20,706,418.0,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 63.0, 471.4]",4
L02-4,215.5,10.0,20,933.5,418.0,LEFT_LEAF,BACK,X,"[1, 0, 0, -1, 63.0, 604.2]",4
L02-5,215.5,10.0,20,706,440.0,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 321.5, 205.8]",4
L02-6,215.5,10.0,20,933.5,440.0,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 321.5, 338.6]",4
L02-7,215.5,10.0,20,706,462.0,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 321.5, 471.4]",4
L02-8,215.5,10.0,20,933.5,462.0,RIGHT_LEAF,BACK,X,"[1, 0, 0, -1, 321.5, 604.2]",4
