part_id,feature_id,joint,pair_id,u0_mm,v0_mm,length_mm,width_mm,depth_mm,seat,mate_part_id,mate_feature_id,open_edges,A_face_in_assembly,dxf_handle
F01-1,F01-1-P01,J1,PAIR-01,0,0,40,40,10.0,False,F02-2,F02-2-P01,U_MIN;V_MIN;V_MAX,FRONT,44
F01-1,F01-1-P02,J1,PAIR-02,760,0,40,40,10.0,False,F02-1,F02-1-P02,U_MAX;V_MIN;V_MAX,FRONT,45
F01-2,F01-2-P01,J1,PAIR-03,0,0,40,40,10.0,False,F02-1,F02-1-P01,U_MIN;V_MIN;V_MAX,FRONT,48
F01-2,F01-2-P02,J1,PAIR-04,760,0,40,40,10.0,False,F02-2,F02-2-P02,U_MAX;V_MIN;V_MAX,FRONT,49
F02-1,F02-1-P01,J1,PAIR-03,0,0,40,40,10.0,False,F01-2,F01-2-P01,U_MIN;V_MIN;V_MAX,BACK,4C
F02-1,F02-1-P02,J1,PAIR-02,560,0,40,40,10.0,False,F01-1,F01-1-P02,U_MAX;V_MIN;V_MAX,BACK,4D
F02-2,F02-2-P01,J1,PAIR-01,0,0,40,40,10.0,False,F01-1,F01-1-P01,U_MIN;V_MIN;V_MAX,BACK,50
F02-2,F02-2-P02,J1,PAIR-04,560,0,40,40,10.0,False,F01-2,F01-2-P02,U_MAX;V_MIN;V_MAX,BACK,51
S01-1,S01-1-P01,J2,PAIR-05,0,0.0,30,30.0,10.0,False,S02-2,S02-2-P01,U_MIN;V_MIN;V_MAX,FRONT,54
S01-1,S01-1-P02,J2,PAIR-06,684,0.0,30,30.0,10.0,False,S02-1,S02-1-P02,U_MAX;V_MIN;V_MAX,FRONT,55
S01-1,S01-1-P03,J4,PAIR-07,152.79999999999995,20.0,10.0,10.0,10.0,True,L02-4,L02-4-P01,V_MAX,FRONT,56
S01-1,S01-1-P04,J4,PAIR-08,285.6,20.0,10.0,10.0,10.0,True,L02-3,L02-3-P01,V_MAX,FRONT,57
S01-1,S01-1-P05,J4,PAIR-09,418.4,20.0,10.0,10.0,10.0,True,L02-2,L02-2-P01,V_MAX,FRONT,58
S01-1,S01-1-P06,J4,PAIR-10,551.2,20.0,10.0,10.0,10.0,True,L02-1,L02-1-P01,V_MAX,FRONT,59
S01-2,S01-2-P01,J2,PAIR-11,0,0.0,30,30.0,10.0,False,S02-1,S02-1-P01,U_MIN;V_MIN;V_MAX,FRONT,64
S01-2,S01-2-P02,J2,PAIR-12,684,0.0,30,30.0,10.0,False,S02-2,S02-2-P02,U_MAX;V_MIN;V_MAX,FRONT,65
S01-2,S01-2-P03,J4,PAIR-13,152.8,20.0,10.0,10.0,10.0,True,L02-1,L02-1-P02,V_MAX,FRONT,66
S01-2,S01-2-P04,J4,PAIR-14,285.6,20.0,10.0,10.0,10.0,True,L02-2,L02-2-P02,V_MAX,FRONT,67
S01-2,S01-2-P05,J4,PAIR-15,418.4,20.0,10.0,10.0,10.0,True,L02-3,L02-3-P02,V_MAX,FRONT,68
S01-2,S01-2-P06,J4,PAIR-16,551.2,20.0,10.0,10.0,10.0,True,L02-4,L02-4-P02,V_MAX,FRONT,69
S01-3,S01-3-P01,J2,PAIR-17,0,0.0,30,30.0,10.0,False,S02-4,S02-4-P01,U_MIN;V_MIN;V_MAX,FRONT,74
S01-3,S01-3-P02,J2,PAIR-18,684,0.0,30,30.0,10.0,False,S02-3,S02-3-P02,U_MAX;V_MIN;V_MAX,FRONT,75
S01-3,S01-3-P03,J4,PAIR-19,152.79999999999995,20.0,10.0,10.0,10.0,True,L02-8,L02-8-P01,V_MAX,FRONT,76
S01-3,S01-3-P04,J4,PAIR-20,285.6,20.0,10.0,10.0,10.0,True,L02-7,L02-7-P01,V_MAX,FRONT,77
S01-3,S01-3-P05,J4,PAIR-21,418.4,20.0,10.0,10.0,10.0,True,L02-6,L02-6-P01,V_MAX,FRONT,78
S01-3,S01-3-P06,J4,PAIR-22,551.2,20.0,10.0,10.0,10.0,True,L02-5,L02-5-P01,V_MAX,FRONT,79
S01-4,S01-4-P01,J2,PAIR-23,0,0.0,30,30.0,10.0,False,S02-3,S02-3-P01,U_MIN;V_MIN;V_MAX,FRONT,84
S01-4,S01-4-P02,J2,PAIR-24,684,0.0,30,30.0,10.0,False,S02-4,S02-4-P02,U_MAX;V_MIN;V_MAX,FRONT,85
S01-4,S01-4-P03,J4,PAIR-25,152.8,20.0,10.0,10.0,10.0,True,L02-5,L02-5-P02,V_MAX,FRONT,86
S01-4,S01-4-P04,J4,PAIR-26,285.6,20.0,10.0,10.0,10.0,True,L02-6,L02-6-P02,V_MAX,FRONT,87
S01-4,S01-4-P05,J4,PAIR-27,418.4,20.0,10.0,10.0,10.0,True,L02-7,L02-7-P02,V_MAX,FRONT,88
S01-4,S01-4-P06,J4,PAIR-28,551.2,20.0,10.0,10.0,10.0,True,L02-8,L02-8-P02,V_MAX,FRONT,89
S02-1,S02-1-P01,J2,PAIR-11,0.0,0,30.0,30,10.0,False,S01-2,S01-2-P01,U_MIN;V_MIN;V_MAX,BACK,94
S02-1,S02-1-P02,J2,PAIR-06,225.5,0,30.0,30,10.0,False,S01-1,S01-1-P02,U_MAX;V_MIN;V_MAX,BACK,95
S02-1,S02-1-P03,J4,PAIR-29,88.5,20,10.0,10,10.0,True,L01-2,L01-2-P01,V_MAX,BACK,96
S02-1,S02-1-P04,J4,PAIR-30,157.0,20,10.0,10,10.0,True,L01-1,L01-1-P01,V_MAX,BACK,97
