hardware_id,hardware_type,part_id,layer,production_machining,front_face_position_only,depth_ref_mm,dxf_handle
H-LEFT-1,HINGE,F01-1,HINGE_REF,False,True,2,1A7
H-LEFT-1,HINGE,S01-1,HINGE_REF,False,True,2,1A9
H-LEFT-2,HINGE,F01-1,HINGE_REF,False,True,2,1AB
H-LEFT-2,HINGE,S01-1,HINGE_REF,False,True,2,1AD
H-RIGHT-1,HINGE,F01-2,HINGE_REF,False,True,2,1AF
H-RIGHT-1,HINGE,S01-4,HINGE_REF,False,True,2,1B1
H-RIGHT-2,HINGE,F01-2,HINGE_REF,False,True,2,1B3
H-RIGHT-2,HINGE,S01-4,HINGE_REF,False,True,2,1B5
HANDLE-1,HANDLE,S01-2,LATCH_REF,False,True,UNSPECIFIED,1B7
HANDLE-2,HANDLE,S01-3,LATCH_REF,False,True,UNSPECIFIED,1B9
CATCH-1,CATCH,S02-2,LATCH_REF,False,True,UNSPECIFIED,1BB
CATCH-1,CATCH,F02-2,LATCH_REF,False,True,UNSPECIFIED,1BD
CATCH-2,CATCH,S02-4,LATCH_REF,False,True,UNSPECIFIED,1BF
CATCH-2,CATCH,F02-2,LATCH_REF,False,True,UNSPECIFIED,1C1
