part_id,feature_id,joint,pair_id,u0_mm,v0_mm,length_mm,width_mm,depth_mm,seat,mate_part_id,mate_feature_id,open_edges,A_face_in_assembly,dxf_handle
F01-1,F01-1-P01,J1,PAIR-01,0,0,40,40,10.0,False,F02-2,F02-2-P01,U_MIN;V_MIN;V_MAX,FRONT,44
F01-1,F01-1-P02,J1,PAIR-02,860,0,40,40,10.0,False,F02-1,F02-1-P02,U_MAX;V_MIN;V_MAX,FRONT,45
F01-2,F01-2-P01,J1,PAIR-03,0,0,40,40,10.0,False,F02-1,F02-1-P01,U_MIN;V_MIN;V_MAX,FRONT,48
F01-2,F01-2-P02,J1,PAIR-04,860,0,40,40,10.0,False,F02-2,F02-2-P02,U_MAX;V_MIN;V_MAX,FRONT,49
F02-1,F02-1-P01,J1,PAIR-03,0,0,40,40,10.0,False,F01-2,F01-2-P01,U_MIN;V_MIN;V_MAX,BACK,4C
F02-1,F02-1-P02,J1,PAIR-02,380,0,40,40,10.0,False,F01-1,F01-1-P02,U_MAX;V_MIN;V_MAX,BACK,4D
F02-2,F02-2-P01,J1,PAIR-01,0,0,40,40,10.0,False,F01-1,F01-1-P01,U_MIN;V_MIN;V_MAX,BACK,50
F02-2,F02-2-P02,J1,PAIR-04,380,0,40,40,10.0,False,F01-2,F01-2-P02,U_MAX;V_MIN;V_MAX,BACK,51
S01-1,S01-1-P01,J2,PAIR-05,0,0.0,30,30.0,10.0,False,S02-2,S02-2-P01,U_MIN;V_MIN;V_MAX,FRONT,54
S01-1,S01-1-P02,J2,PAIR-06,784,0.0,30,30.0,10.0,False,S02-1,S02-1-P02,U_MAX;V_MIN;V_MAX,FRONT,55
S01-2,S01-2-P01,J2,PAIR-07,0,0.0,30,30.0,10.0,False,S02-1,S02-1-P01,U_MIN;V_MIN;V_MAX,FRONT,58
S01-2,S01-2-P02,J2,PAIR-08,784,0.0,30,30.0,10.0,False,S02-2,S02-2-P02,U_MAX;V_MIN;V_MAX,FRONT,59
S02-1,S02-1-P01,J2,PAIR-07,0.0,0,30.0,30,10.0,False,S01-2,S01-2-P01,U_MIN;V_MIN;V_MAX,BACK,5C
S02-1,S02-1-P02,J2,PAIR-06,304.0,0,30.0,30,10.0,False,S01-1,S01-1-P02,U_MAX;V_MIN;V_MAX,BACK,5D
S02-2,S02-2-P01,J2,PAIR-05,0.0,0,30.0,30,10.0,False,S01-1,S01-1-P01,U_MIN;V_MIN;V_MAX,BACK,60
S02-2,S02-2-P02,J2,PAIR-08,304.0,0,30.0,30,10.0,False,S01-2,S01-2-P02,U_MAX;V_MIN;V_MAX,BACK,61
