part_id,feature_id,parent_pocket,center_u_mm,center_v_mm,radius_mm,depth_mm,intent,dxf_handle
S01-1,S01-1-P03-DB-L,S01-1-P03,129.1428571428571,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5C
S01-1,S01-1-P03-DB-R,S01-1-P03,139.1428571428571,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5D
S01-1,S01-1-P04-DB-L,S01-1-P04,238.28571428571433,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5E
S01-1,S01-1-P04-DB-R,S01-1-P04,248.28571428571433,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,5F
S01-1,S01-1-P05-DB-L,S01-1-P05,347.42857142857144,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,60
S01-1,S01-1-P05-DB-R,S01-1-P05,357.42857142857144,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,61
S01-1,S01-1-P06-DB-L,S01-1-P06,456.57142857142856,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,62
S01-1,S01-1-P06-DB-R,S01-1-P06,466.57142857142856,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,63
S01-1,S01-1-P07-DB-L,S01-1-P07,565.7142857142858,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,64
S01-1,S01-1-P07-DB-R,S01-1-P07,575.7142857142858,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,65
S01-1,S01-1-P08-DB-L,S01-1-P08,674.8571428571429,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,66
S01-1,S01-1-P08-DB-R,S01-1-P08,684.8571428571429,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,67
S01-2,S01-2-P03-DB-L,S01-2-P03,129.14285714285714,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,72
S01-2,S01-2-P03-DB-R,S01-2-P03,139.14285714285714,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,73
S01-2,S01-2-P04-DB-L,S01-2-P04,238.28571428571428,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,74
S01-2,S01-2-P04-DB-R,S01-2-P04,248.28571428571428,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,75
S01-2,S01-2-P05-DB-L,S01-2-P05,347.42857142857144,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,76
S01-2,S01-2-P05-DB-R,S01-2-P05,357.42857142857144,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,77
S01-2,S01-2-P06-DB-L,S01-2-P06,456.57142857142856,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,78
S01-2,S01-2-P06-DB-R,S01-2-P06,466.57142857142856,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,79
S01-2,S01-2-P07-DB-L,S01-2-P07,565.7142857142857,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7A
S01-2,S01-2-P07-DB-R,S01-2-P07,575.7142857142857,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7B
S01-2,S01-2-P08-DB-L,S01-2-P08,674.8571428571429,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7C
S01-2,S01-2-P08-DB-R,S01-2-P08,684.8571428571429,20.0,3.2,10.0,UNION_WITH_PARENT_POCKET,7D
S02-1,S02-1-P03-DB-L,S02-1-P03,114.66666666666663,20,3.2,10.0,UNION_WITH_PARENT_POCKET,84
S02-1,S02-1-P03-DB-R,S02-1-P03,124.66666666666663,20,3.2,10.0,UNION_WITH_PARENT_POCKET,85
S02-1,S02-1-P04-DB-L,S02-1-P04,209.33333333333331,20,3.2,10.0,UNION_WITH_PARENT_POCKET,86
S02-1,S02-1-P04-DB-R,S02-1-P04,219.33333333333331,20,3.2,10.0,UNION_WITH_PARENT_POCKET,87
S02-2,S02-2-P03-DB-L,S02-2-P03,114.66666666666669,20,3.2,10.0,UNION_WITH_PARENT_POCKET,8E
S02-2,S02-2-P03-DB-R,S02-2-P03,124.66666666666669,20,3.2,10.0,UNION_WITH_PARENT_POCKET,8F
S02-2,S02-2-P04-DB-L,S02-2-P04,209.33333333333337,20,3.2,10.0,UNION_WITH_PARENT_POCKET,90
S02-2,S02-2-P04-DB-R,S02-2-P04,219.33333333333337,20,3.2,10.0,UNION_WITH_PARENT_POCKET,91
