part_id,length_mm,width_mm,thickness_mm,nest_x_mm,nest_y_mm,assembly_group,A_face_in_assembly,grain_axis,assembly_affine,pocket_count
F01-1,900.0,40.0,20,20,20,FIXED,FRONT,X,"[0, 1, -1, 0, 0, 900]",2
F01-2,900.0,40.0,20,20,72,FIXED,FRONT,X,"[0, -1, 1, 0, 420, 0]",2
F02-1,420.0,40.0,20,20,124,FIXED,BACK,X,"[-1, 0, 0, 1, 420, 0]",2
F02-2,420.0,40.0,20,452,124,FIXED,BACK,X,"[1, 0, 0, -1, 0, 900]",2
S01-1,814.0,30.0,20,20,176,LEAF_1,FRONT,X,"[0, 1, -1, 0, 43.0, 857]",8
S01-2,814.0,30.0,20,20,218.0,LEAF_1,FRONT,X,"[0, -1, 1, 0, 377.0, 43]",8
S02-1,334.0,30.0,20,846,176,LEAF_1,BACK,X,"[-1, 0, 0, 1, 377.0, 43]",4
S02-2,334.0,30.0,20,846,218.0,LEAF_1,BACK,X,"[1, 0, 0, -1, 43.0, 857]",4
L01-1,774.0,10.0,20,20,260.0,LEAF_1,FRONT,X,"[0, -1, 1, 0, 167.66666666666669, 63]",8
L01-2,774.0,10.0,20,20,282.0,LEAF_1,FRONT,X,"[0, -1, 1, 0, 262.33333333333337, 63]",8
L02-1,294.0,10.0,20,806,260.0,LEAF_1,BACK,X,"[1, 0, 0, -1, 63.0, 182.14285714285714]",4
L02-2,294.0,10.0,20,806,282.0,LEAF_1,BACK,X,"[1, 0, 0, -1, 63.0, 291.2857142857143]",4
L02-3,294.0,10.0,20,20,304.0,LEAF_1,BACK,X,"[1, 0, 0, -1, 63.0, 400.42857142857144]",4
L02-4,294.0,10.0,20,326.0,304.0,LEAF_1,BACK,X,"[1, 0, 0, -1, 63.0, 509.57142857142856]",4
L02-5,294.0,10.0,20,632.0,304.0,LEAF_1,BACK,X,"[1, 0, 0, -1, 63.0, 618.7142857142857]",4
L02-6,294.0,10.0,20,20,326.0,LEAF_1,BACK,X,"[1, 0, 0, -1, 63.0, 727.8571428571429]",4
