part_id,feature_id,joint,pair_id,u0_mm,v0_mm,length_mm,width_mm,depth_mm,seat,mate_part_id,mate_feature_id,open_edges,A_face_in_assembly,dxf_handle
F01-1,F01-1-P01,J1,PAIR-01,0,0,40,40,10.0,False,F02-2,F02-2-P01,U_MIN;V_MIN;V_MAX,FRONT,44
F01-1,F01-1-P02,J1,PAIR-02,860,0,40,40,10.0,False,F02-1,F02-1-P02,U_MAX;V_MIN;V_MAX,FRONT,45
F01-2,F01-2-P01,J1,PAIR-03,0,0,40,40,10.0,False,F02-1,F02-1-P01,U_MIN;V_MIN;V_MAX,FRONT,48
F01-2,F01-2-P02,J1,PAIR-04,860,0,40,40,10.0,False,F02-2,F02-2-P02,U_MAX;V_MIN;V_MAX,FRONT,49
F02-1,F02-1-P01,J1,PAIR-03,0,0,40,40,10.0,False,F01-2,F01-2-P01,U_MIN;V_MIN;V_MAX,BACK,4C
F02-1,F02-1-P02,J1,PAIR-02,380,0,40,40,10.0,False,F01-1,F01-1-P02,U_MAX;V_MIN;V_MAX,BACK,4D
F02-2,F02-2-P01,J1,PAIR-01,0,0,40,40,10.0,False,F01-1,F01-1-P01,U_MIN;V_MIN;V_MAX,BACK,50
F02-2,F02-2-P02,J1,PAIR-04,380,0,40,40,10.0,False,F01-2,F01-2-P02,U_MAX;V_MIN;V_MAX,BACK,51
S01-1,S01-1-P01,J2,PAIR-05,0,0.0,30,30.0,10.0,False,S02-2,S02-2-P01,U_MIN;V_MIN;V_MAX,FRONT,54
S01-1,S01-1-P02,J2,PAIR-06,784,0.0,30,30.0,10.0,False,S02-1,S02-1-P02,U_MAX;V_MIN;V_MAX,FRONT,55
S01-1,S01-1-P03,J4,PAIR-07,129.1428571428571,20.0,10.0,10.0,10.0,True,L02-6,L02-6-P01,V_MAX,FRONT,56
S01-1,S01-1-P04,J4,PAIR-08,238.28571428571433,20.0,10.0,10.0,10.0,True,L02-5,L02-5-P01,V_MAX,FRONT,57
S01-1,S01-1-P05,J4,PAIR-09,347.42857142857144,20.0,10.0,10.0,10.0,True,L02-4,L02-4-P01,V_MAX,FRONT,58
S01-1,S01-1-P06,J4,PAIR-10,456.57142857142856,20.0,10.0,10.0,10.0,True,L02-3,L02-3-P01,V_MAX,FRONT,59
S01-1,S01-1-P07,J4,PAIR-11,565.7142857142858,20.0,10.0,10.0,10.0,True,L02-2,L02-2-P01,V_MAX,FRONT,5A
S01-1,S01-1-P08,J4,PAIR-12,674.8571428571429,20.0,10.0,10.0,10.0,True,L02-1,L02-1-P01,V_MAX,FRONT,5B
S01-2,S01-2-P01,J2,PAIR-13,0,0.0,30,30.0,10.0,False,S02-1,S02-1-P01,U_MIN;V_MIN;V_MAX,FRONT,6A
S01-2,S01-2-P02,J2,PAIR-14,784,0.0,30,30.0,10.0,False,S02-2,S02-2-P02,U_MAX;V_MIN;V_MAX,FRONT,6B
S01-2,S01-2-P03,J4,PAIR-15,129.14285714285714,20.0,10.0,10.0,10.0,True,L02-1,L02-1-P02,V_MAX,FRONT,6C
S01-2,S01-2-P04,J4,PAIR-16,238.28571428571428,20.0,10.0,10.0,10.0,True,L02-2,L02-2-P02,V_MAX,FRONT,6D
S01-2,S01-2-P05,J4,PAIR-17,347.42857142857144,20.0,10.0,10.0,10.0,True,L02-3,L02-3-P02,V_MAX,FRONT,6E
S01-2,S01-2-P06,J4,PAIR-18,456.57142857142856,20.0,10.0,10.0,10.0,True,L02-4,L02-4-P02,V_MAX,FRONT,6F
S01-2,S01-2-P07,J4,PAIR-19,565.7142857142857,20.0,10.0,10.0,10.0,True,L02-5,L02-5-P02,V_MAX,FRONT,70
S01-2,S01-2-P08,J4,PAIR-20,674.8571428571429,20.0,10.0,10.0,10.0,True,L02-6,L02-6-P02,V_MAX,FRONT,71
S02-1,S02-1-P01,J2,PAIR-13,0.0,0,30.0,30,10.0,False,S01-2,S01-2-P01,U_MIN;V_MIN;V_MAX,BACK,80
S02-1,S02-1-P02,J2,PAIR-06,304.0,0,30.0,30,10.0,False,S01-1,S01-1-P02,U_MAX;V_MIN;V_MAX,BACK,81
S02-1,S02-1-P03,J4,PAIR-21,114.66666666666663,20,10.0,10,10.0,True,L01-2,L01-2-P01,V_MAX,BACK,82
S02-1,S02-1-P04,J4,PAIR-22,209.33333333333331,20,10.0,10,10.0,True,L01-1,L01-1-P01,V_MAX,BACK,83
S02-2,S02-2-P01,J2,PAIR-05,0.0,0,30.0,30,10.0,False,S01-1,S01-1-P01,U_MIN;V_MIN;V_MAX,BACK,8A
S02-2,S02-2-P02,J2,PAIR-14,304.0,0,30.0,30,10.0,False,S01-2,S01-2-P02,U_MAX;V_MIN;V_MAX,BACK,8B
S02-2,S02-2-P03,J4,PAIR-23,114.66666666666669,20,10.0,10,10.0,True,L01-1,L01-1-P02,V_MAX,BACK,8C
S02-2,S02-2-P04,J4,PAIR-24,209.33333333333337,20,10.0,10,10.0,True,L01-2,L01-2-P02,V_MAX,BACK,8D
L01-1,L01-1-P01,J4,PAIR-22,0,0.0,10,10.0,10.0,False,S02-1,S02-1-P04,U_MIN;V_MIN;V_MAX,FRONT,94
L01-1,L01-1-P02,J4,PAIR-23,764,0.0,10,10.0,10.0,False,S02-2,S02-2-P03,U_MAX;V_MIN;V_MAX,FRONT,95
L01-1,L01-1-P03,J3,PAIR-25,109.14285714285714,0.0,10.0,10.0,10.0,False,L02-1,L02-1-P03,V_MIN;V_MAX,FRONT,96
L01-1,L01-1-P04,J3,PAIR-26,218.28571428571428,0.0,10.0,10.0,10.0,False,L02-2,L02-2-P03,V_MIN;V_MAX,FRONT,97
L01-1,L01-1-P05,J3,PAIR-27,327.42857142857144,0.0,10.0,10.0,10.0,False,L02-3,L02-3-P03,V_MIN;V_MAX,FRONT,98
L01-1,L01-1-P06,J3,PAIR-28,436.57142857142856,0.0,10.0,10.0,10.0,False,L02-4,L02-4-P03,V_MIN;V_MAX,FRONT,99
L01-1,L01-1-P07,J3,PAIR-29,545.7142857142857,0.0,10.0,10.0,10.0,False,L02-5,L02-5-P03,V_MIN;V_MAX,FRONT,9A
L01-1,L01-1-P08,J3,PAIR-30,654.8571428571429,0.0,10.0,10.0,10.0,False,L02-6,L02-6-P03,V_MIN;V_MAX,FRONT,9B
L01-2,L01-2-P01,J4,PAIR-21,0,0.0,10,10.0,10.0,False,S02-1,S02-1-P03,U_MIN;V_MIN;V_MAX,FRONT,9E
L01-2,L01-2-P02,J4,PAIR-24,764,0.0,10,10.0,10.0,False,S02-2,S02-2-P04,U_MAX;V_MIN;V_MAX,FRONT,9F
L01-2,L01-2-P03,J3,PAIR-31,109.14285714285714,0.0,10.0,10.0,10.0,False,L02-1,L02-1-P04,V_MIN;V_MAX,FRONT,A0
L01-2,L01-2-P04,J3,PAIR-32,218.28571428571428,0.0,10.0,10.0,10.0,False,L02-2,L02-2-P04,V_MIN;V_MAX,FRONT,A1
L01-2,L01-2-P05,J3,PAIR-33,327.42857142857144,0.0,10.0,10.0,10.0,False,L02-3,L02-3-P04,V_MIN;V_MAX,FRONT,A2
L01-2,L01-2-P06,J3,PAIR-34,436.57142857142856,0.0,10.0,10.0,10.0,False,L02-4,L02-4-P04,V_MIN;V_MAX,FRONT,A3
L01-2,L01-2-P07,J3,PAIR-35,545.7142857142857,0.0,10.0,10.0,10.0,False,L02-5,L02-5-P04,V_MIN;V_MAX,FRONT,A4
L01-2,L01-2-P08,J3,PAIR-36,654.8571428571429,0.0,10.0,10.0,10.0,False,L02-6,L02-6-P04,V_MIN;V_MAX,FRONT,A5
L02-1,L02-1-P01,J4,PAIR-12,0.0,0.0,10.0,10.0,10.0,False,S01-1,S01-1-P08,U_MIN;V_MIN;V_MAX,BACK,A8
L02-1,L02-1-P02,J4,PAIR-15,284.0,0.0,10.0,10.0,10.0,False,S01-2,S01-2-P03,U_MAX;V_MIN;V_MAX,BACK,A9
L02-1,L02-1-P03,J3,PAIR-25,94.66666666666669,0.0,10.0,10.0,10.0,False,L01-1,L01-1-P03,V_MIN;V_MAX,BACK,AA
