hardware_id,hardware_type,part_id,layer,production_machining,front_face_position_only,depth_ref_mm,dxf_handle
H-LEFT-1,HINGE,F01-1,HINGE_REF,False,True,2,196
H-LEFT-1,HINGE,S01-1,HINGE_REF,False,True,2,198
H-LEFT-2,HINGE,F01-1,HINGE_REF,False,True,2,19A
H-LEFT-2,HINGE,S01-1,HINGE_REF,False,True,2,19C
H-RIGHT-1,HINGE,F01-2,HINGE_REF,False,True,2,19E
H-RIGHT-1,HINGE,S01-4,HINGE_REF,False,True,2,1A0
H-RIGHT-2,HINGE,F01-2,HINGE_REF,False,True,2,1A2
H-RIGHT-2,HINGE,S01-4,HINGE_REF,False,True,2,1A4
HANDLE-1,HANDLE,S01-2,LATCH_REF,False,True,UNSPECIFIED,1A6
HANDLE-2,HANDLE,S01-3,LATCH_REF,False,True,UNSPECIFIED,1A8
CATCH-1,CATCH,S02-2,LATCH_REF,False,True,UNSPECIFIED,1AA
CATCH-1,CATCH,F02-2,LATCH_REF,False,True,UNSPECIFIED,1AC
CATCH-2,CATCH,S02-4,LATCH_REF,False,True,UNSPECIFIED,1AE
CATCH-2,CATCH,F02-2,LATCH_REF,False,True,UNSPECIFIED,1B0
