hardware_id,hardware_type,part_id,layer,production_machining,front_face_position_only,depth_ref_mm,dxf_handle
H-LEFT-1,HINGE,F01-1,HINGE_REF,False,True,2,197
H-LEFT-1,HINGE,S01-1,HINGE_REF,False,True,2,199
H-LEFT-2,HINGE,F01-1,HINGE_REF,False,True,2,19B
H-LEFT-2,HINGE,S01-1,HINGE_REF,False,True,2,19D
H-RIGHT-1,HINGE,F01-2,HINGE_REF,False,True,2,19F
H-RIGHT-1,HINGE,S01-4,HINGE_REF,False,True,2,1A1
H-RIGHT-2,HINGE,F01-2,HINGE_REF,False,True,2,1A3
H-RIGHT-2,HINGE,S01-4,HINGE_REF,False,True,2,1A5
HANDLE-1,HANDLE,S01-2,LATCH_REF,False,True,UNSPECIFIED,1A7
HANDLE-2,HANDLE,S01-3,LATCH_REF,False,True,UNSPECIFIED,1A9
CATCH-1,CATCH,S02-2,LATCH_REF,False,True,UNSPECIFIED,1AB
CATCH-1,CATCH,F02-2,LATCH_REF,False,True,UNSPECIFIED,1AD
CATCH-2,CATCH,S02-4,LATCH_REF,False,True,UNSPECIFIED,1AF
CATCH-2,CATCH,F02-2,LATCH_REF,False,True,UNSPECIFIED,1B1
